Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 1;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 2;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 3;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 4;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5;Kjøring # 5
Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²);Dato og tid;Tid (s);Posisjon (m);Fart (m/s);Akselerasjon (m/s²)
02.11.2018 15.34.56;2,550;2,83;9,05;41,15;02.11.2018 15.38.07;2,550;3,16;-5,05;-35,46;02.11.2018 15.39.53;2,550;2,83;-6,68E-4;0,00;02.11.2018 15.40.54;2,550;2,83;0,00;0,02;02.11.2018 15.41.26;2,550;1,90;2,81;43,52
02.11.2018 15.34.56;2,600;2,51;10,17;-52,78;02.11.2018 15.38.07;2,600;0,95;-6,44;-23,56;02.11.2018 15.39.53;2,600;2,83;-9,43E-5;0,01;02.11.2018 15.40.54;2,600;2,83;0,00;0,09;02.11.2018 15.41.26;2,600;1,81;6,23;24,75
02.11.2018 15.34.56;2,650;5,87;1,17;-131,49;02.11.2018 15.38.07;2,650;3,21;-8,30;-22,71;02.11.2018 15.39.53;2,650;2,83;1,96E-4;0,04;02.11.2018 15.40.54;2,650;2,83;0,01;0,13;02.11.2018 15.41.26;2,650;2,83;6,53;-18,83
02.11.2018 15.34.56;2,700;2,85;-8,99;-45,53;02.11.2018 15.38.07;2,700;0,86;-9,01;12,23;02.11.2018 15.39.53;2,700;2,83;0,00;0,08;02.11.2018 15.40.54;2,700;2,83;0,02;0,08;02.11.2018 15.41.26;2,700;2,83;3,40;-42,63
02.11.2018 15.34.56;2,750;2,85;-11,23;89,33;02.11.2018 15.38.07;2,750;0,77;-9,29;45,73;02.11.2018 15.39.53;2,750;2,83;0,01;0,10;02.11.2018 15.40.54;2,750;2,83;0,02;-0,07;02.11.2018 15.41.26;2,750;2,83;-0,01;-33,19
02.11.2018 15.34.56;2,800;2,84;8,91;104,66;02.11.2018 15.38.07;2,800;0,69;-1,78;48,97;02.11.2018 15.39.53;2,800;2,83;0,02;0,04;02.11.2018 15.40.54;2,800;2,83;0,01;-0,19;02.11.2018 15.41.26;2,800;2,83;-0,02;-11,35
02.11.2018 15.34.56;2,850;2,51;10,07;-18,48;02.11.2018 15.38.07;2,850;0,59;-1,81;25,04;02.11.2018 15.39.53;2,850;2,83;0,02;-0,05;02.11.2018 15.40.54;2,850;2,83;-0,01;-0,20;02.11.2018 15.41.26;2,850;2,83;-0,01;0,09
02.11.2018 15.34.56;2,900;5,86;1,11;-126,83;02.11.2018 15.38.07;2,900;0,50;-1,80;0,23;02.11.2018 15.39.53;2,900;2,83;0,01;-0,09;02.11.2018 15.40.54;2,900;2,83;-0,02;-0,11;02.11.2018 15.41.26;2,900;2,83;0,00;0,06
02.11.2018 15.34.56;2,950;2,85;-8,98;-71,00;02.11.2018 15.38.07;2,950;0,41;-1,76;-0,45;02.11.2018 15.39.53;2,950;2,83;9,58E-4;-0,06;02.11.2018 15.40.54;2,950;2,83;-0,02;0,02;02.11.2018 15.41.26;2,950;2,83;-6,82E-4;0,00
02.11.2018 15.34.57;3,000;2,83;-10,10;26,03;02.11.2018 15.38.08;3,000;0,33;-1,77;-1,03;02.11.2018 15.39.54;3,000;2,83;0,00;0,01;02.11.2018 15.40.55;3,000;2,83;-0,01;0,08;02.11.2018 15.41.27;3,000;2,83;-0,01;0,04
02.11.2018 15.34.57;3,050;2,84;-0,03;63,14;02.11.2018 15.38.08;3,050;0,24;-1,98;33,02;02.11.2018 15.39.54;3,050;2,83;0,00;0,07;02.11.2018 15.40.55;3,050;2,83;-0,01;0,09;02.11.2018 15.41.27;3,050;2,83;0,00;0,12
02.11.2018 15.34.57;3,100;2,83;-0,03;33,09;02.11.2018 15.38.08;3,100;0,15;-1,88;102,05;02.11.2018 15.39.54;3,100;2,83;0,01;0,10;02.11.2018 15.40.55;3,100;2,83;0,00;;02.11.2018 15.41.27;3,100;2,83;0,01;0,08
02.11.2018 15.34.57;3,150;2,84;-0,10;-0,36;02.11.2018 15.38.08;3,150;0,00;8,27;138,38;02.11.2018 15.39.54;3,150;2,83;0,02;0,10;02.11.2018 15.40.55;3,150;2,83;0,00;;02.11.2018 15.41.27;3,150;2,83;0,01;
02.11.2018 15.34.57;3,200;2,82;-0,10;0,16;02.11.2018 15.38.08;3,200;0,00;18,60;73,67;02.11.2018 15.39.54;3,200;2,83;0,02;0,02;02.11.2018 15.40.55;3,200;2,83;;;02.11.2018 15.41.27;3,200;2,83;-8,50E-4;
02.11.2018 15.34.57;3,250;2,82;-0,07;0,59;02.11.2018 15.38.08;3,250;2,86;19,05;-58,69;02.11.2018 15.39.54;3,250;2,83;0,02;-0,09;;;;;;02.11.2018 15.41.27;3,250;2,83;;
02.11.2018 15.34.57;3,300;2,82;-0,01;0,55;02.11.2018 15.38.08;3,300;2,86;9,44;-126,70;02.11.2018 15.39.54;3,300;2,83;0,01;-0,13;;;;;;;;;;
02.11.2018 15.34.57;3,350;2,82;-0,01;0,28;02.11.2018 15.38.08;3,350;2,85;-0,18;-96,00;02.11.2018 15.39.54;3,350;2,83;0,00;-0,09;;;;;;;;;;
02.11.2018 15.34.57;3,400;2,82;0,00;0,06;02.11.2018 15.38.08;3,400;2,84;-0,19;-31,46;02.11.2018 15.39.54;3,400;2,83;0,00;-0,05;;;;;;;;;;
02.11.2018 15.34.57;3,450;2,82;0,00;0,02;02.11.2018 15.38.08;3,450;2,83;-0,13;0,99;02.11.2018 15.39.54;3,450;2,83;1,89E-4;0,00;;;;;;;;;;
02.11.2018 15.34.57;3,500;2,82;0,00;3,13E-4;02.11.2018 15.38.08;3,500;2,83;-0,05;0,96;02.11.2018 15.39.54;3,500;2,83;0,00;0,11;;;;;;;;;;
02.11.2018 15.34.57;3,550;2,82;0,00;0,00;02.11.2018 15.38.08;3,550;2,83;-0,01;0,53;02.11.2018 15.39.54;3,550;2,83;0,01;0,25;;;;;;;;;;
02.11.2018 15.34.57;3,600;2,82;9,40E-5;0,00;02.11.2018 15.38.08;3,600;2,83;-0,01;0,15;02.11.2018 15.39.54;3,600;2,83;0,03;0,26;;;;;;;;;;
02.11.2018 15.34.57;3,650;2,82;-5,73E-4;0,00;02.11.2018 15.38.08;3,650;2,83;-0,01;-0,04;02.11.2018 15.39.54;3,650;2,84;0,04;0,07;;;;;;;;;;
02.11.2018 15.34.57;3,700;2,82;-6,67E-4;0,00;02.11.2018 15.38.08;3,700;2,83;-0,01;-0,11;02.11.2018 15.39.54;3,700;2,84;0,04;-0,20;;;;;;;;;;
02.11.2018 15.34.57;3,750;2,82;-9,40E-5;0,01;02.11.2018 15.38.08;3,750;2,83;-0,02;-0,08;02.11.2018 15.39.54;3,750;2,84;0,02;-0,35;;;;;;;;;;
02.11.2018 15.34.57;3,800;2,82;4,79E-4;0,01;02.11.2018 15.38.08;3,800;2,82;-0,03;0,05;02.11.2018 15.39.54;3,800;2,84;0,00;-0,39;;;;;;;;;;
02.11.2018 15.34.57;3,850;2,82;0,00;0,02;02.11.2018 15.38.08;3,850;2,82;-0,02;0,16;02.11.2018 15.39.54;3,850;2,84;-0,02;;;;;;;;;;;
02.11.2018 15.34.57;3,900;2,82;0,00;0,04;02.11.2018 15.38.08;3,900;2,82;0,00;0,15;02.11.2018 15.39.54;3,900;2,84;-0,04;;;;;;;;;;;
02.11.2018 15.34.57;3,950;2,82;0,00;0,06;02.11.2018 15.38.08;3,950;2,82;4,79E-4;0,07;02.11.2018 15.39.54;3,950;2,84;;;;;;;;;;;;
02.11.2018 15.34.58;4,000;2,82;0,01;0,04;02.11.2018 15.38.09;4,000;2,82;0,00;0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,050;2,82;0,01;-0,05;02.11.2018 15.38.09;4,050;2,82;5,73E-4;-3,14E-4;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,100;2,82;0,01;-0,13;02.11.2018 15.38.09;4,100;2,82;4,79E-4;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,150;2,82;-0,01;-0,13;02.11.2018 15.38.09;4,150;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,200;2,82;-0,01;-0,03;02.11.2018 15.38.09;4,200;2,82;0,00;0,00;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,250;2,82;-0,01;0,07;02.11.2018 15.38.09;4,250;2,82;6,67E-4;-0,01;;;;;;;;;;;;;;;
02.11.2018 15.34.58;4,300;2,82;0,00;0,10;02.11.2018 15.38.09;4,300;2,82;0,00;-0,01;;;;;;;;;;;;;;;
